Nome: SAO SIMAO
Codigo Estacao: 83669
Latitude: -21.46111111
Longitude: -47.57944443
Altitude: 620.02
Situacao: Operante
Data Inicial: 2019-01-01
Data Final: 2023-09-08
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2019-04-24;3,2;8,4;0;31,9;null;null;75;53;,666667;
2019-04-25;3,9;9,5;0;31,9;null;null;73,75;56;,666667;
2019-04-26;4;9,5;0;32,2;null;null;71,75;55;,333333;
2019-04-27;3,6;8,9;0;32,5;null;null;69,5;48;,666667;
2019-04-28;4,5;8;0;32,1;null;null;74,75;50;,666667;
2019-04-29;3,7;8,1;2,4;29,1;null;null;79,75;53;,333333;
2019-04-30;2,6;9,4;0;30,7;null;null;69,5;39;,333333;
2019-05-01;3,6;2,7;0;30,3;null;null;71,25;49;,333333;
2019-05-02;4,4;4,4;0;30,3;null;null;74;55;,333333;
2019-05-03;3,5;3,7;0;31,1;null;null;78;61;,333333;
2019-05-04;4;5,5;0;32,6;null;null;77,75;56;,333333;
2019-05-05;4;6,7;2,8;31,5;null;null;76,5;60;1;
2019-05-06;3,4;8,6;0;30,7;null;null;77;58;,333333;
2019-05-07;2,5;6,4;0;31,5;null;null;75;53;1;
2019-05-08;3,3;9,4;0;30,6;null;null;72,5;52;1;
2019-05-09;4,6;7,7;0;30,3;null;null;73,75;58;,666667;
2019-05-10;2,5;5,6;25,2;30,1;null;null;79,75;63;,333333;
2019-05-11;2,4;2,8;0;30,5;null;null;81;61;,666667;
2019-05-12;2,8;7,4;0;31,9;null;null;77,5;62;0;
