,Accuracy
273,70.33492822966507
274,73.20574162679426
275,73.20574162679426
276,72.72727272727273
277,71.29186602870813
278,69.377990430622
279,70.33492822966507
280,71.77033492822966
281,69.85645933014354
282,70.81339712918661
283,71.77033492822966
284,72.72727272727273
285,68.42105263157895
286,71.77033492822966
287,69.85645933014354
288,72.24880382775119
289,69.377990430622
290,70.33492822966507
291,68.89952153110048
292,71.77033492822966
293,69.377990430622
294,72.24880382775119
295,72.24880382775119
296,70.33492822966507
297,72.24880382775119
298,76.55502392344498
299,70.33492822966507
300,75.11961722488039
301,72.24880382775119
302,72.24880382775119
303,72.72727272727273
304,71.77033492822966
305,70.81339712918661
306,73.20574162679426
307,71.29186602870813
308,70.81339712918661
309,74.16267942583733
310,70.33492822966507
311,71.77033492822966
312,70.81339712918661
313,71.77033492822966
314,72.72727272727273
315,70.81339712918661
316,72.24880382775119
317,70.81339712918661
318,73.20574162679426
319,70.81339712918661
320,73.20574162679426
321,75.11961722488039
322,71.77033492822966
323,73.68421052631578
324,70.33492822966507
325,73.20574162679426
326,72.24880382775119
327,70.81339712918661
328,72.72727272727273
329,72.24880382775119
330,69.85645933014354
331,70.81339712918661
332,71.29186602870813
333,72.24880382775119
334,69.377990430622
335,70.33492822966507
336,71.29186602870813
337,70.81339712918661
338,71.29186602870813
339,73.68421052631578
340,68.89952153110048
341,71.77033492822966
342,71.29186602870813
343,71.29186602870813
344,72.72727272727273
345,68.89952153110048
346,71.29186602870813
347,70.33492822966507
348,68.89952153110048
349,71.77033492822966
350,70.33492822966507
351,68.42105263157895
352,70.81339712918661
353,71.29186602870813
354,72.72727272727273
355,72.24880382775119
356,70.81339712918661
357,71.29186602870813
358,71.29186602870813
359,71.77033492822966
360,73.20574162679426
361,71.77033492822966
362,72.24880382775119
363,68.42105263157895
364,71.77033492822966
365,73.68421052631578
366,74.16267942583733
367,71.77033492822966
368,71.29186602870813
369,69.85645933014354
370,72.72727272727273
371,70.81339712918661
372,73.20574162679426
373,70.33492822966507
374,69.85645933014354
375,70.33492822966507
376,72.24880382775119
377,70.33492822966507
378,71.77033492822966
379,71.29186602870813
380,70.81339712918661
381,75.11961722488039
382,69.85645933014354
383,73.68421052631578
384,69.85645933014354
385,69.377990430622
386,73.20574162679426
387,72.24880382775119
388,69.85645933014354
389,71.77033492822966
390,69.377990430622
391,68.89952153110048
392,69.85645933014354
393,71.29186602870813
394,69.85645933014354
395,71.77033492822966
396,70.33492822966507
397,72.24880382775119
398,72.24880382775119
399,71.29186602870813
400,69.85645933014354
401,68.89952153110048
402,71.29186602870813
403,73.20574162679426
404,68.89952153110048
405,71.29186602870813
406,74.16267942583733
407,68.89952153110048
408,68.89952153110048
409,70.81339712918661
410,72.72727272727273
411,73.20574162679426
412,74.16267942583733
413,71.29186602870813
414,69.85645933014354
415,70.33492822966507
416,69.377990430622
417,69.377990430622
418,69.377990430622
419,70.81339712918661
420,70.81339712918661
421,71.77033492822966
422,70.81339712918661
423,71.77033492822966
424,71.29186602870813
425,67.94258373205741
426,72.72727272727273
427,70.33492822966507
428,72.72727272727273
429,68.89952153110048
430,71.77033492822966
431,69.377990430622
432,71.29186602870813
433,70.81339712918661
434,69.85645933014354
435,73.68421052631578
436,72.24880382775119
437,69.85645933014354
438,70.81339712918661
439,72.72727272727273
440,70.81339712918661
441,71.29186602870813
442,70.81339712918661
443,70.81339712918661
444,69.377990430622
445,72.24880382775119
446,72.72727272727273
447,71.29186602870813
448,73.20574162679426
449,73.68421052631578
450,70.33492822966507
451,72.72727272727273
452,71.77033492822966
453,68.89952153110048
454,71.29186602870813
455,70.33492822966507
456,71.77033492822966
457,71.29186602870813
458,68.89952153110048
459,71.77033492822966
460,71.77033492822966
461,71.77033492822966
462,73.20574162679426
463,71.29186602870813
464,71.29186602870813
465,72.24880382775119
466,73.68421052631578
467,71.29186602870813
468,69.85645933014354
469,72.72727272727273
470,69.85645933014354
471,72.24880382775119
472,70.33492822966507
473,73.20574162679426
474,70.33492822966507
475,72.24880382775119
476,70.33492822966507
477,72.24880382775119
478,72.24880382775119
479,68.42105263157895
480,69.377990430622
481,69.377990430622
482,71.29186602870813
483,68.89952153110048
484,71.77033492822966
485,68.89952153110048
486,69.377990430622
487,69.85645933014354
488,70.33492822966507
489,70.81339712918661
490,70.33492822966507
491,73.20574162679426
492,71.29186602870813
493,69.377990430622
494,71.29186602870813
495,72.24880382775119
496,69.85645933014354
497,68.42105263157895
498,69.85645933014354
499,69.85645933014354
500,71.29186602870813
501,68.89952153110048
502,72.24880382775119
503,68.89952153110048
504,69.85645933014354
505,67.46411483253588
506,72.24880382775119
507,67.46411483253588
508,71.77033492822966
509,70.33492822966507
510,73.20574162679426
511,69.85645933014354
512,69.377990430622
513,68.89952153110048
514,68.89952153110048
515,68.89952153110048
516,69.85645933014354
517,70.81339712918661
518,70.81339712918661
519,70.81339712918661
520,71.77033492822966
521,68.89952153110048
522,72.72727272727273
523,69.377990430622
524,67.94258373205741
525,68.42105263157895
526,71.77033492822966
527,72.24880382775119
528,69.377990430622
529,68.42105263157895
530,73.68421052631578
531,73.68421052631578
532,70.33492822966507
533,72.72727272727273
534,70.33492822966507
535,69.377990430622
536,72.72727272727273
537,69.85645933014354
538,72.24880382775119
539,70.33492822966507
540,71.29186602870813
541,71.77033492822966
542,73.68421052631578
543,70.81339712918661
544,72.72727272727273
545,68.89952153110048
546,70.81339712918661
547,71.77033492822966
548,72.24880382775119
549,72.72727272727273
550,73.20574162679426
551,71.29186602870813
552,68.89952153110048
553,68.89952153110048
554,72.24880382775119
555,69.377990430622
556,69.85645933014354
557,71.77033492822966
558,70.33492822966507
559,71.77033492822966
560,67.94258373205741
561,70.33492822966507
562,69.85645933014354
563,73.68421052631578
564,71.77033492822966
565,71.77033492822966
566,72.72727272727273
567,70.33492822966507
568,73.20574162679426
569,71.29186602870813
570,73.68421052631578
571,72.72727272727273
572,73.20574162679426
573,72.24880382775119
574,71.77033492822966
575,70.33492822966507
576,69.85645933014354
577,72.72727272727273
578,70.33492822966507
579,69.85645933014354
580,72.72727272727273
581,72.72727272727273
582,69.377990430622
583,69.85645933014354
584,68.42105263157895
585,71.29186602870813
586,67.46411483253588
587,69.377990430622
588,70.33492822966507
589,69.377990430622
590,70.33492822966507
591,69.377990430622
592,72.72727272727273
593,68.42105263157895
594,71.29186602870813
595,69.377990430622
596,72.72727272727273
597,70.33492822966507
598,74.64114832535886
599,71.77033492822966
600,69.85645933014354
601,71.77033492822966
602,72.24880382775119
603,73.20574162679426
604,72.72727272727273
605,68.89952153110048
606,71.77033492822966
607,69.85645933014354
608,71.29186602870813
609,69.377990430622
610,69.377990430622
611,69.85645933014354
612,68.89952153110048
613,70.81339712918661
614,70.81339712918661
615,69.85645933014354
616,70.33492822966507
617,71.29186602870813
618,74.16267942583733
619,68.89952153110048
620,69.85645933014354
621,71.29186602870813
